SIMULATED ANNEALING LOG

Step=76 | Candidate=93.232 | Current=93.232 | Best=93.618 | Delta=-0.386 | Prob=1.0000 | T=0.8491 | Swap=[Ghor-Clan Rampager] -> [Stingscourger] | Accepted=True
Step=77 | Candidate=93.116 | Current=93.116 | Best=93.618 | Delta=-0.116 | Prob=1.0000 | T=0.8298 | Swap=[Stingscourger] -> [Pyreheart Wolf] | Accepted=True
Step=78 | Candidate=93.130 | Current=93.130 | Best=93.618 | Delta=0.014 | Prob=1.0000 | T=0.8109 | Swap=[Mogg Fanatic] -> [Goblin Piledriver] | Accepted=True
Step=79 | Candidate=93.130 | Current=93.130 | Best=93.618 | Delta=0.000 | Prob=1.0000 | T=0.7924 | Swap=[Lightning Mauler] -> [Hellspark Elemental] | Accepted=True
Step=80 | Candidate=93.243 | Current=93.243 | Best=93.618 | Delta=0.112 | Prob=1.0000 | T=0.7744 | Swap=[Hellspark Elemental] -> [Burning-Tree Emissary] | Accepted=True
Step=81 | Candidate=93.514 | Current=93.514 | Best=93.618 | Delta=0.271 | Prob=1.0000 | T=0.7568 | Swap=[Stromkirk Noble] -> [Hellrider] | Accepted=True
Step=82 | Candidate=93.300 | Current=93.300 | Best=93.618 | Delta=-0.214 | Prob=1.0000 | T=0.7396 | Swap=[Keldon Marauders] -> [Ember Hauler] | Accepted=True
Step=83 | Candidate=93.443 | Current=93.443 | Best=93.618 | Delta=0.143 | Prob=1.0000 | T=0.7227 | Swap=[Lava Spike] -> [Tormod's Crypt] | Accepted=True
Step=84 | Candidate=93.296 | Current=93.296 | Best=93.618 | Delta=-0.147 | Prob=1.0000 | T=0.7063 | Swap=[Lightning Mauler] -> [Chandra's Phoenix] | Accepted=True
Step=85 | Candidate=93.380 | Current=93.380 | Best=93.618 | Delta=0.085 | Prob=1.0000 | T=0.6902 | Swap=[Tormod's Crypt] -> [Rift Bolt] | Accepted=True
Step=86 | Candidate=93.704 | Current=93.704 | Best=93.704 | Delta=0.324 | Prob=1.0000 | T=0.6745 | Swap=[Goblin Piledriver] -> [Hellrider] | Accepted=True
Step=87 | Candidate=93.662 | Current=93.662 | Best=93.704 | Delta=-0.042 | Prob=1.0000 | T=0.6591 | Swap=[Spikeshot Elder] -> [Goblin Matron] | Accepted=True
Step=88 | Candidate=93.542 | Current=93.662 | Best=93.704 | Delta=-0.120 | Prob=1.0000 | T=0.6441 | Swap=[Price of Progress] -> [Cavern of Souls] | Accepted=False
Step=89 | Candidate=93.806 | Current=93.806 | Best=93.806 | Delta=0.144 | Prob=1.0000 | T=0.6295 | Swap=[Pyreheart Wolf] -> [Lightning Mauler] | Accepted=True
Step=90 | Candidate=93.736 | Current=93.736 | Best=93.806 | Delta=-0.069 | Prob=1.0000 | T=0.6151 | Swap=[Goblin Matron] -> [Mogg Fanatic] | Accepted=True
Step=91 | Candidate=93.500 | Current=93.736 | Best=93.806 | Delta=-0.236 | Prob=1.0000 | T=0.6011 | Swap=[Stingscourger] -> [Flinthoof Boar] | Accepted=False
Step=92 | Candidate=93.849 | Current=93.849 | Best=93.849 | Delta=0.113 | Prob=1.0000 | T=0.5874 | Swap=[Reckless Waif] -> [Hellrider] | Accepted=True
Step=93 | Candidate=93.959 | Current=93.959 | Best=93.959 | Delta=0.110 | Prob=1.0000 | T=0.5741 | Swap=[Burning-Tree Emissary] -> [Firedrinker Satyr] | Accepted=True
Step=94 | Candidate=94.055 | Current=93.959 | Best=93.959 | Delta=0.096 | Prob=1.0000 | T=0.5610 | Swap=[Mogg Fanatic] -> [Boros Reckoner] | Accepted=False
Step=95 | Candidate=93.767 | Current=93.767 | Best=93.959 | Delta=-0.192 | Prob=1.0000 | T=0.5482 | Swap=[Chandra's Phoenix] -> [Grim Lavamancer] | Accepted=True
Step=96 | Candidate=93.554 | Current=93.767 | Best=93.959 | Delta=-0.213 | Prob=1.0000 | T=0.5358 | Swap=[Lightning Mauler] -> [Rakdos Cackler] | Accepted=False
Step=97 | Candidate=93.824 | Current=93.824 | Best=93.959 | Delta=0.057 | Prob=1.0000 | T=0.5236 | Swap=[Fanatic of Mogis] -> [Chandra's Phoenix] | Accepted=True
Step=98 | Candidate=93.824 | Current=93.824 | Best=93.959 | Delta=0.000 | Prob=1.0000 | T=0.5116 | Swap=[Firedrinker Satyr] -> [Grim Lavamancer] | Accepted=True
Step=99 | Candidate=93.500 | Current=93.500 | Best=93.959 | Delta=-0.324 | Prob=1.0000 | T=0.5000 | Swap=[Hellrider] -> [Stonewright] | Accepted=True
Step=100 | Candidate=93.613 | Current=93.613 | Best=93.959 | Delta=0.113 | Prob=1.0000 | T=0.4886 | Swap=[Grim Lavamancer] -> [Chandra's Phoenix] | Accepted=True
Step=101 | Candidate=93.733 | Current=93.733 | Best=93.959 | Delta=0.120 | Prob=1.0000 | T=0.4775 | Swap=[Goblin Sharpshooter] -> [Goblin Bushwhacker] | Accepted=True
Step=102 | Candidate=93.573 | Current=93.573 | Best=93.959 | Delta=-0.160 | Prob=1.0000 | T=0.4666 | Swap=[Arc Trail] -> [Wooded Foothills] | Accepted=True
Step=103 | Candidate=93.653 | Current=93.653 | Best=93.959 | Delta=0.080 | Prob=1.0000 | T=0.4560 | Swap=[Ember Hauler] -> [Goblin Guide] | Accepted=True
Step=104 | Candidate=93.711 | Current=93.711 | Best=93.959 | Delta=0.057 | Prob=1.0000 | T=0.4456 | Swap=[Goblin Bushwhacker] -> [Lightning Mauler] | Accepted=True
Step=105 | Candidate=93.632 | Current=93.632 | Best=93.959 | Delta=-0.079 | Prob=1.0000 | T=0.4355 | Swap=[Burning-Tree Emissary] -> [Zealous Conscripts] | Accepted=True
Step=106 | Candidate=93.711 | Current=93.711 | Best=93.959 | Delta=0.079 | Prob=1.0000 | T=0.4256 | Swap=[Zealous Conscripts] -> [Goblin Warchief] | Accepted=True
Step=107 | Candidate=93.829 | Current=93.829 | Best=93.959 | Delta=0.118 | Prob=1.0000 | T=0.4159 | Swap=[Rift Bolt] -> [Arid Mesa] | Accepted=True
Step=108 | Candidate=93.961 | Current=93.829 | Best=93.959 | Delta=0.132 | Prob=1.0000 | T=0.4064 | Swap=[Mogg Fanatic] -> [Lightning Mauler] | Accepted=False
Step=109 | Candidate=93.714 | Current=93.714 | Best=93.959 | Delta=-0.115 | Prob=1.0000 | T=0.3972 | Swap=[Stonewright] -> [Mogg War Marshal] | Accepted=True
Step=110 | Candidate=93.701 | Current=93.701 | Best=93.959 | Delta=-0.013 | Prob=1.0000 | T=0.3881 | Swap=[Goblin Guide] -> [Chandra's Phoenix] | Accepted=True
Step=111 | Candidate=93.740 | Current=93.740 | Best=93.959 | Delta=0.039 | Prob=1.0000 | T=0.3793 | Swap=[Shrine of Burning Rage] -> [Pyrostatic Pillar] | Accepted=True
